time;ms;data
11:17:47;693;2 02 00 1d 20 57 53 20 20 00 00 20 20 18 35 20 20 02 20 20 20 20 20 20 20 20 20 20 20 20 20 20 03
11:17:47;696;8 02 00 1d 20 ef bf bd 5e 20 20 00 00 20 20 ef bf bd 4d 20 20 26 20 20 20 20 20 20 20 20 20 20 20 20 20 20 03
11:17:47;699;19 02 00 1d 20 08 70 20 20 00 00 20 20 ef bf bd 1e 20 20 07 20 20 20 20 20 20 20 20 20 20 20 20 20 20 03
11:17:47;700;15 02 00 1d 20 ef bf bd 74 20 20 00 00 20 20 38 1f 20 20 ef bf bd 20 20 20 20 20 20 20 20 20 20 20 20 20 20 03
11:17:47;718;5 02 00 1d 20 7f ef bf bd 20 20 00 00 20 20 36 54 20 20 10 20 20 20 20 20 20 20 20 20 20 20 20 20 20 03
11:17:47;742;17 02 00 1d 20 28 ef bf bd 20 20 00 00 20 20 61 5f 20 20 ef bf bd 20 20 20 20 20 20 20 20 20 20 20 20 20 20 03
11:17:47;775;14 02 00 1d 20 68 4c 20 20 00 00 20 20 2d ef bf bd 20 20 ef bf bd 20 20 20 20 20 20 20 20 20 20 20 20 20 20 03
11:17:47;801;4 02 00 1d 20 55 17 20 20 00 00 20 20 ef bf bd ef bf bd 20 20 ef bf bd 20 20 20 20 20 20 20 20 20 20 20 20 20 20 03
11:17:47;838;18 02 00 1d 20 ef bf bd 0a 20 20 00 00 20 20 1c 41 20 20 ef bf bd 20 20 20 20 20 20 20 20 20 20 20 20 20 20 03
11:17:47;906;1 02 00 1d 20 65 ef bf bd 20 20 00 00 20 20 43 ef bf bd 20 20 78 20 20 20 20 20 20 20 20 20 20 20 20 20 20 03
11:17:47;913;16 02 00 1d 20 5c ef bf bd 20 20 00 00 20 20 ef bf bd ef bf bd 20 20 ef bf bd 20 20 20 20 20 20 20 20 20 20 20 20 20
11:17:47;970;10 02 00 1d 20 ef bf bd 4e 20 20 00 00 20 20 17 32 20 20 14 20 20 20 20 20 20 20 20 20 20 20 20 20 20 03
11:17:48;1;11 02 00 1d 20 37 ef bf bd 20 20 00 00 20 20 ef bf bd 48 20 20 ef bf bd 20 20 20 20 20 20 20 20 20 20 20 20 20 20 03
11:17:48;33;9 02 00 1d 20 1f ef bf bd 20 20 00 00 20 20 ef bf bd 5d 20 20 1a 20 20 20 20 20 20 20 20 20 20 20 20 20 20 03
