time;ms;channel;data
14:37:02;131;800402;00 1D 20 23 2B 20 20 00 00 20 20 66 EF BF BD 20 20 EF BF BD 20 20 20 20 20 20 20 20 20 20 20
14:37:02;150;801802;00 1D 20 62 EF BF BD 20 20 00 00 20 20 EF BF BD EF BF BD 20 20 EF BF BD 20 20 20 20 20 20 20
14:37:02;198;801902;00 1D 20 EF BF BD EF BF BD 20 20 00 00 20 20 25 EF BF BD 20 20 38 20 20 20 20 20 20 20 20 20
14:37:02;199;800802;00 1D 20 C7 87 20 20 00 00 20 20 01 EF BF BD 20 20 44 20 20 20 20 20 20 20 20 20 20 20 20 20
14:37:02;200;800402;00 1D 20 20 EF BF BD 20 20 00 00 20 20 EF BF BD 76 20 20 13 20 20 20 20 20 20 20 20 20 20 20
14:37:02;281;801102;00 1D 20 EF BF BD 4D 20 20 00 00 20 20 EF BF BD 74 20 20 EF BF BD 20 20 20 20 20 20 20 20 20
14:37:02;418;801802;00 1D 20 EF BF BD 0E 20 20 00 00 20 20 4E 0E 20 20 EF BF BD 20 20 20 20 20 20 20 20 20 20 20
14:37:02;496;800402;00 1D 20 23 EF BF BD 20 20 00 00 20 20 01 EF BF BD 20 20 EF BF BD 20 20 20 20 20 20 20 20 20
14:37:02;527;800802;00 1D 20 13 EF BF BD 20 20 00 00 20 20 50 5F 20 20 EF BF BD 20 20 20 20 20 20 20 20 20 20 20
14:37:02;533;801502;00 1D 20 C9 BE 20 20 00 00 20 20 58 EF BF BD 20 20 EF BF BD 20 20 20 20 20 20 20 20 20 20 20
14:37:02;535;801902;00 1D 20 39 EF BF BD 20 20 00 00 20 20 57 06 20 20 11 20 20 20 20 20 20 20 20 20 20 20 20 20
14:37:02;541;801102;00 1D 20 72 47 20 20 00 00 20 20 EF BF BD 7D 20 20 4C 20 20 20 20 20 20 20 20 20 20 20 20 20
14:37:02;601;801802;00 1D 20 EF BF BD EF BF BD 20 20 00 00 20 20 EF BF BD 44 20 20 EF BF BD 20 20 20 20 20 20 20
14:37:02;637;801902;00 1D 20 12 2E 20 20 00 00 20 20 64 EF BF BD 20 20 67 20 20 20 20 20 20 20 20 20 20 20 20 20
14:37:02;638;801502;00 1D 20 EF BF BD 20 20 00 00 20 20 EF BF BD 0B 20 20 19 20 20 20 20 20 20 20 20 20 20 20 20
14:37:02;645;801102;00 1D 20 EF BF BD 5A 20 20 00 00 20 20 EF BF BD 4E 20 20 15 20 20 20 20 20 20 20 20 20 20 20
14:37:02;648;800802;00 1D 20 74 EF BF BD 20 20 00 00 20 20 EF BF BD EF BF BD 20 20 2E 20 20 20 20 20 20 20 20 20
14:37:02;714;800402;00 1D 20 17 EF BF BD 20 20 00 00 20 20 EF BF BD 70 20 20 EF BF BD 20 20 20 20 20 20 20 20 20
14:37:02;717;801802;00 1D 20 EF BF BD 5C 20 20 00 00 20 20 EF BF BD 42 20 20 17 20 20 20 20 20 20 20 20 20 20 20
14:37:02;734;801102;00 1D 20 EF BF BD 58 20 20 00 00 20 20 EF BF BD 7A 20 20 43 20 20 20 20 20 20 20 20 20 20 20
14:37:02;752;801502;00 1D 20 6E EF BF BD 20 20 00 00 20 20 0E EF BF BD 20 20 5D 20 20 20 20 20 20 20 20 20 20 20
14:37:02;754;801902;00 1D 20 5D 56 20 20 00 00 20 20 3D 19 20 20 EF BF BD 20 20 20 20 20 20 20 20 20 20 20 20 20
14:37:02;831;801102;00 1D 20 5A EF BF BD 20 20 00 00 20 20 37 5C 20 20 EF BF BD 20 20 20 20 20 20 20 20 20 20 20
14:37:02;834;801802;00 1D 20 7E 2F 20 20 00 00 20 20 EF BF BD 08 20 20 42 20 20 20 20 20 20 20 20 20 20 20 20 20
14:37:02;843;800402;00 1D 20 6D 2C 20 20 00 00 20 20 EF BF BD EF BF BD 20 20 EF BF BD 20 20 20 20 20 20 20 20 20
14:37:02;871;801902;00 1D 20 EF BF BD EF BF BD 20 20 00 00 20 20 6F EF BF BD 20 20 1A 20 20 20 20 20 20 20 20 20
